event,leaveout,size,squared_diff,time
sutherland_springs,0.5244667634136555,750.0,0.0021931584388226177,8.0
sutherland_springs,0.5368464688779329,525.0,0.011652790834361049,9.0
sutherland_springs,0.5593281331773975,964.0,0.005100284200882266,10.0
parkland,0.5326347966517118,23981.0,0.00023618784040135843,1.0
parkland,0.5296743796788583,10004.0,0.000747948835082668,2.0
parkland,0.5444163643981099,4469.0,1.4133222161150094e-05,3.0
parkland,0.539475228649224,3883.0,9.608017626894227e-05,4.0
parkland,0.5359821712433797,3349.0,0.00012615817348787806,5.0
parkland,0.5330470465652781,3773.0,0.002265897054571253,6.0
parkland,0.5411731262625219,6119.0,0.0005810130775013578,7.0
parkland,0.5295766702939401,10470.0,0.0002390527510498508,8.0
parkland,0.5426509346105006,6359.0,0.001030578638520574,9.0
parkland,0.5513193924178119,4144.0,0.0014600546241798629,10.0
nashville,0.5203430095999021,4711.0,0.00016447589773771476,1.0
nashville,0.519026644456574,5099.0,3.622269761588415e-05,2.0
nashville,0.5211089989444238,2216.0,0.004136176527764768,3.0
nashville,0.521270030358715,998.0,0.0016514647868111076,4.0
nashville,0.511639499289907,538.0,0.004529046382725221,5.0
nashville,0.5375409508696465,408.0,0.004769308830452235,6.0
nashville,0.5097310818088094,263.0,0.006687721619890619,7.0
nashville,0.5170321664348632,240.0,0.015526307065878542,8.0
nashville,0.5441141481950874,246.0,0.004061496567448253,9.0
nashville,0.5063160129862069,273.0,0.0040000347539537184,10.0
santa_fe,0.5269630414083228,22512.0,9.525542693644695e-05,1.0
santa_fe,0.5270301760569911,2805.0,0.0019707246475788587,2.0
santa_fe,0.5191243341278392,2059.0,0.002857411696750245,3.0
santa_fe,0.5151065419099815,1556.0,0.0025014681742313583,4.0
santa_fe,0.5106096210266712,988.0,0.002393589354238057,5.0
santa_fe,0.5225262467197365,641.0,0.0035068714236810017,6.0
santa_fe,0.5266337584138125,363.0,0.0027997284395494537,7.0
santa_fe,0.5163502954727077,532.0,0.006702126968555766,8.0
santa_fe,0.4990434577691578,254.0,0.00808565296770769,9.0
santa_fe,0.5353948023288795,270.0,0.002946397493609698,10.0
annapolis,0.521386073404571,9863.0,0.0004046841159572878,1.0
annapolis,0.5326751859872886,2022.0,0.002513520565997851,2.0
annapolis,0.5668891658777135,447.0,0.008469565382900335,3.0
annapolis,0.5375940341907782,187.0,0.024075148080548114,4.0
annapolis,0.5430852840679821,577.0,0.006061076529289167,5.0
annapolis,0.531189638879964,485.0,0.002894910699878128,6.0
annapolis,0.5,93.0,0.0,7.0
annapolis,0.5024384277117437,168.0,0.004355828823368935,8.0
annapolis,0.5579092395706164,57.0,0.0014706638830923047,9.0
annapolis,0.5,88.0,0.0,10.0
pittsburgh,0.528104684662543,9252.0,0.0004124582087459694,1.0
pittsburgh,0.5569478036548925,5155.0,0.001858730346547044,2.0
pittsburgh,0.5899491247648845,3507.0,0.00032845755975263735,3.0
pittsburgh,0.5598001444393514,1748.0,0.001283297665417682,4.0
pittsburgh,0.5598290886046031,624.0,0.0054972704810913875,5.0
pittsburgh,0.5545042797767392,502.0,0.001410444984267789,6.0
pittsburgh,0.5505834487556345,374.0,0.018531770697230998,7.0
pittsburgh,0.5643580305566309,236.0,0.01326574230626254,8.0
pittsburgh,0.5711997090706971,279.0,0.001921575916944196,9.0
pittsburgh,0.5775843441362225,215.0,0.011091772087226393,10.0
thousand_oaks,0.5243887460093362,1767.0,0.005234294509699866,1.0
thousand_oaks,0.5378327220578123,22283.0,0.00011075461124276931,2.0
thousand_oaks,0.5543394230316433,10997.0,0.0011558937358905341,3.0
thousand_oaks,0.5697891798221064,3139.0,0.0007451115243576334,4.0
thousand_oaks,0.5874500555547016,1149.0,0.008128392612229585,5.0
thousand_oaks,0.5394562930964668,743.0,0.001876516539089823,6.0
thousand_oaks,0.5868357905898256,427.0,0.01241871916588122,7.0
thousand_oaks,0.5548083308433654,310.0,0.03548424621326529,8.0
thousand_oaks,0.5754555935535203,277.0,0.0016342617270466153,9.0
thousand_oaks,0.5324578889285589,115.0,0.014516977691865551,10.0
