	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
affect	-1.3796039	-2.0600176	0.19057941	-0.22566672	0.041698694	-0.18239251	0.7126533	-0.26644638	0.4948627	0.7369524	0.33799803	0.29449683	1.6262316	1.6123621	0.4924515	0.8338279	-0.45546395	0.50772417	-0.1836888	-1.4596295	0.78394186	-0.33339614	0.087686345	1.2060982	0.3310091	0.25528628	-1.0418159	-1.2699391	0.13676482	0.10933632	0.3700205	-0.5169244	0.6035799	0.5158514	-1.6683885	0.3145408	0.29196927	0.7088252	-1.053012	-0.7527678	-1.4373705	-0.4547214	1.2842572	-0.24271247	-0.6932282	-0.14567825	-0.9516095	-0.008055419	1.1140063	-1.7733192
see	-0.6644117	-0.42317504	0.7106366	-1.0449173	0.5124748	-0.038848564	0.14522117	-0.67481893	0.47053456	0.9168921	0.64186496	0.52167016	1.1534141	0.8293459	0.7105918	0.9455496	-0.79967767	0.57943594	-0.43318152	-0.41002917	0.14765456	0.97752595	-1.054045	0.31885615	-1.2101557	0.02428339	-1.1419581	-1.4549963	1.1862475	0.2599234	-0.14429387	-1.2562591	0.16888404	0.86861646	0.39228296	0.5816438	1.0017498	0.6012596	-1.0294617	-0.17390835	0.98966384	0.23974371	0.61267185	-0.7813809	0.1642979	-0.50793016	-0.9032037	-0.55804694	0.15719847	-1.0780399
hous	-0.81921875	-0.54417217	1.0589964	-1.0081258	0.4130157	-0.2615775	0.29805616	-0.5591253	0.83554196	0.876101	1.0955243	1.9656553	1.3619784	0.4966209	1.0259082	1.1148398	-0.7652315	0.79400206	-1.0115823	-1.036735	0.38515422	0.57607913	-0.9432592	0.48490167	-0.51350766	-2.0726085	-0.93989444	-1.422593	1.0869164	1.1351619	-0.56230056	-1.6714654	-0.8410324	1.0829296	1.0702351	1.0193844	0.35497683	1.1811426	-0.7585929	-1.1187192	1.679637	1.2003524	0.038601603	-0.9523883	-0.04671257	-0.4878187	-0.47773182	-0.7437434	0.9580678	0.16403617
ve	-0.50101584	-0.18929261	0.97817314	-0.75756264	0.2466627	0.10503547	-0.53545666	-0.30571562	1.0846813	0.7696548	0.657848	0.3522801	0.6854571	1.464859	0.5609361	0.43722808	-0.9836508	0.8345263	-0.24975586	-0.6130544	0.35256815	0.30689538	-1.2753313	0.78438056	-0.5681666	0.018075574	-1.2056144	-0.9111403	0.79439294	-0.3373304	-0.17968193	-1.3510983	0.23320235	0.30913088	0.05262179	0.26139802	1.2558665	0.22401926	-0.72537166	0.042245064	0.4377061	-0.5091224	0.37494582	-0.6051178	0.10248166	-1.090225	-0.69043297	-0.46057874	0.17104249	-0.87338114
crime	-0.06853428	-0.9374126	0.9425215	0.36877185	0.6716171	-0.38888115	0.036408354	-1.2226467	0.6906866	1.0238695	0.061651938	0.44609204	0.22710122	0.05833317	0.8394086	0.93730456	-1.1658304	0.5555725	-0.36805347	-1.0500324	-0.043563075	0.5864209	-0.5627567	0.47138572	-0.46587622	0.019915167	-1.359497	-1.0156686	0.95609987	0.57629347	-0.033657	-0.37753475	-0.3068365	0.90888834	0.055526778	0.99427867	1.4042044	-1.1330023	-1.0239275	-0.5674169	1.0151286	0.393535	-0.1214616	-0.9319538	-0.5146642	-0.3579002	-0.5582237	-0.06563482	-0.09311432	-0.37317157
or	-0.9229933	-0.93424547	0.9217715	-0.9401956	0.7645066	0.13393486	0.1690931	-0.86096346	0.9411425	0.7870027	0.032788496	0.97773933	0.73546404	0.7143142	1.0168617	0.86395097	-1.0414311	1.051883	-0.72319245	-1.0656598	-0.08925684	-0.29726702	-0.82917356	0.5225195	-0.9454894	-0.16151586	-1.3492986	-1.1084158	0.97633386	0.45165056	0.19676615	-1.0906947	-0.12822536	1.2662585	0.8433013	0.78677505	0.8280524	0.059025608	-1.1957612	-0.4517049	0.7235061	-0.22687921	-0.09864403	-0.5729051	0.20400164	-1.003622	-1.0451356	-0.9822384	-0.06283965	-0.8555893
well	-0.42978293	-0.27443534	0.36854723	-0.62709117	1.0350795	0.2568115	0.050610848	-0.48878306	1.0987725	0.5395344	0.49285483	0.84847534	0.8087649	0.62885916	0.5511552	0.3997128	-0.72383714	0.6606873	-0.40229177	-0.67186344	-0.31096822	-0.06716781	-1.0802172	0.6394316	-0.04694221	-0.21880004	-0.9905744	-1.1375731	1.0035517	0.336564	0.30289543	-0.70024693	0.0706742	0.9023868	0.6354277	0.95598745	0.81362593	0.37146264	-0.7582508	-0.7286662	0.5434009	-0.22101943	0.15645188	-0.9081032	-0.19943792	-1.2984084	-1.1356245	-0.3441893	0.42474496	-0.8448193
white	-0.73357964	-0.4990423	1.1927631	-1.2370394	0.21898499	-0.32836825	0.24623689	-0.86671126	0.49694782	0.8298499	0.48360258	1.6974194	1.4243196	-0.031646334	0.9079757	0.8726143	-0.72929746	0.97595215	-0.70865726	-1.0668021	-0.24128123	0.29106718	-1.3826652	0.49513263	-1.4820747	-0.68717575	-0.8575311	-0.9722053	0.943372	1.5496776	0.323834	-0.85565865	0.3198021	1.4222395	0.7670157	1.5668569	1.1656965	-0.13886109	-0.65523344	-1.5307477	1.6923308	0.19348271	-0.98587686	-0.651296	-0.6200451	-0.33169603	0.21954648	-0.59720767	-0.101748146	-0.94944656
issu	-0.41298297	-0.7858763	1.6591861	-0.77149224	0.73081464	-0.19918144	-0.03719946	-1.1967262	0.6513216	0.8296983	-0.3058533	0.4605214	0.73154795	1.0295529	1.0186063	0.16262728	-1.2428206	1.4536939	-0.3205803	-0.68497217	-0.012429347	-0.013590146	-0.47809413	-0.27600926	-0.48694825	0.46472955	-0.643033	-1.1386998	0.723501	-0.050706178	0.3161538	-0.4340359	-0.97023517	1.0206728	0.9681927	0.75134695	0.73838514	0.30519223	-0.841643	-0.63867706	0.007654637	0.57249314	-0.034612168	-0.82614994	0.12665072	-0.82539725	0.27087933	-0.22619727	-0.05186017	-1.2716081
media	-0.28342253	-0.86038756	1.0753639	-0.7417264	0.9775171	1.4315331	-0.16481873	-0.48730993	1.0579135	0.8306768	-0.26167867	1.1867033	1.5536532	0.8415867	0.9530326	1.4254348	-0.7023714	0.9908041	-0.062121816	-0.6443887	-0.56428057	-0.14842668	-1.2057297	-0.08024462	-1.5735972	0.2846287	-0.8023227	-1.1141813	0.7991667	0.70867306	-0.36344853	-0.51512027	0.26521584	0.8388904	-0.8457464	1.0796933	1.1263449	-0.3431009	-1.0941172	-0.69825476	0.89116466	-0.4361053	-0.60594106	-0.9875988	-0.40738505	-0.36743012	-0.93650085	-0.26307523	-0.28030613	0.014768723
